Date,Produit,Carrefour_Station_ID,Carrefour_Station_Name,Inférieur,Égal,Supérieur
2024-03-15,Gazole,11150001,"827    Carrefour
Name: Enseignes, dtype: object",1,0,1
2024-03-15,Gazole,11160003,"830    Carrefour
Name: Enseignes, dtype: object",0,0,1
2024-03-15,Gazole,11200001,"832    Carrefour
Name: Enseignes, dtype: object",0,0,3
2024-03-15,Gazole,11290005,"845    Carrefour
Name: Enseignes, dtype: object",1,0,5
2024-03-15,Gazole,11370001,"851    Carrefour
Name: Enseignes, dtype: object",0,0,2
2024-03-15,Gazole,12100004,"892    Carrefour
Name: Enseignes, dtype: object",0,1,3
2024-03-15,Gazole,12120001,"901    Carrefour
Name: Enseignes, dtype: object",0,0,0
2024-03-15,Gazole,12160003,"912    Carrefour
Name: Enseignes, dtype: object",0,0,2
2024-03-15,Gazole,12170001,"913    Carrefour
Name: Enseignes, dtype: object",0,0,0
2024-03-15,Gazole,12170004,"914    Carrefour
Name: Enseignes, dtype: object",0,0,0
2024-03-15,Gazole,12200002,"916    Carrefour
Name: Enseignes, dtype: object",0,1,5
2024-03-15,Gazole,12260006,"928    Carrefour
Name: Enseignes, dtype: object",3,3,0
2024-03-15,Gazole,12400001,"948    Carrefour
Name: Enseignes, dtype: object",0,0,3
2024-03-15,Gazole,12450001,"955    Carrefour
Name: Enseignes, dtype: object",0,0,9
2024-03-15,Gazole,13008008,"992    Carrefour
Name: Enseignes, dtype: object",3,1,29
2024-03-15,Gazole,13011020,"1012    Carrefour
Name: Enseignes, dtype: object",31,14,0
2024-03-15,Gazole,13011024,"1015    Carrefour
Name: Enseignes, dtype: object",25,1,19
2024-03-15,Gazole,13012028,"1024    Carrefour
Name: Enseignes, dtype: object",29,0,17
2024-03-15,Gazole,13014001,"1037    Carrefour
Name: Enseignes, dtype: object",12,0,33
2024-03-15,Gazole,13110003,"1061    Carrefour
Name: Enseignes, dtype: object",1,7,7
2024-03-15,Gazole,13120001,"1069    Carrefour
Name: Enseignes, dtype: object",9,0,15
2024-03-15,Gazole,13130002,"1084    Carrefour
Name: Enseignes, dtype: object",3,0,7
2024-03-15,Gazole,13140001,"1087    Carrefour
Name: Enseignes, dtype: object",2,1,7
2024-03-15,Gazole,13160004,"1096    Carrefour
Name: Enseignes, dtype: object",20,0,6
2024-03-15,Gazole,13180002,"1104    Carrefour
Name: Enseignes, dtype: object",5,0,12
2024-03-15,Gazole,13220003,"1118    Carrefour
Name: Enseignes, dtype: object",0,5,8
2024-03-15,Gazole,13220004,"1119    Carrefour
Name: Enseignes, dtype: object",5,2,7
2024-03-15,Gazole,13300011,"1138    Carrefour
Name: Enseignes, dtype: object",3,0,9
2024-03-15,Gazole,13340001,"1149    Carrefour
Name: Enseignes, dtype: object",4,0,9
2024-03-15,Gazole,13410003,"1169    Carrefour
Name: Enseignes, dtype: object",1,0,3
2024-03-15,Gazole,13463001,"1180    Carrefour
Name: Enseignes, dtype: object",24,1,17
2024-03-15,Gazole,13530001,"1192    Carrefour
Name: Enseignes, dtype: object",2,0,5
2024-03-15,Gazole,13545001,"1195    Carrefour
Name: Enseignes, dtype: object",6,4,13
2024-03-15,Gazole,13600005,"1208    Carrefour
Name: Enseignes, dtype: object",2,0,5
2024-03-15,Gazole,13680010,"1231    Carrefour
Name: Enseignes, dtype: object",8,0,2
2024-03-15,Gazole,13741001,"1247    Carrefour
Name: Enseignes, dtype: object",2,0,14
